45.45,52,50.35,48,72.22,87.5,18.31,19.23,4.63,3.45,7.69,6,4.9,6,70.99,66.24,27.97,32,62.5,81.25,1.84,1.538,39.86,46,54.39,39.13,19.57,36.36,1.472,1.333,2,1
51.06,37.04,51.06,51.85,83.33,42.86,17.39,30.77,4.95,4.14,8.51,3.7,6.38,11.11,74.09,77.04,34.04,29.63,75,50,1.667,1.75,38.3,44.44,38.89,50,38.46,0,1.875,1.6,3,1
46.91,71.43,45.86,42.86,81.08,100,18.18,50,4.66,4.5,3.7,7.14,7.41,7.14,75.08,100,34.57,28.57,67.86,75,1.368,1,33.33,57.14,44.44,62.5,26.92,100,1.737,0,1,1
54.55,51.72,56.36,54.02,74.19,78.72,28.17,20,3.71,3.93,1.82,4.6,7.27,5.75,74.41,75.88,38.18,29.89,66.67,80.77,1.786,1.619,34.55,42.53,57.89,40.54,33.33,37.5,1.3,1.571,1,1
51.92,42.86,59.62,45.54,83.87,72.55,4.76,18.03,4.11,4.35,5.77,5.36,7.69,3.57,57.5,77.85,32.69,36.61,58.82,65.85,1.5,1.63,32.69,33.93,64.71,36.84,33.33,21.21,1.273,1.375,2,1
75,32.93,59.38,41.46,100,67.65,38.46,8.33,3,4.67,12.5,2.44,6.25,9.76,67.36,72.07,25,29.27,75,58.33,1.833,2.143,53.13,45.12,82.35,21.62,57.14,23.81,1.5,1.938,3,1
61.11,50.46,65.28,53.21,89.36,84.48,8,11.76,3.95,4.1,6.94,8.26,8.33,4.59,67.47,66.08,33.33,24.77,70.83,74.07,1.529,1.95,41.67,44.04,56.67,54.17,55.56,26.47,1.286,1.565,4,1
54.55,43.59,56.36,46.15,74.19,83.33,29.17,9.52,3.71,4.11,1.82,2.56,7.27,7.69,74.41,75.36,38.18,30.77,66.67,75,1.786,1.556,34.55,33.33,57.89,46.15,33.33,14.29,1.3,2.083,1,1
46.15,45.45,50.77,50.35,75.76,72.22,15.63,18.31,3.61,4.63,5.38,7.69,9.23,4.9,75,70.99,30.77,27.97,62.5,62.5,1.56,1.84,43.85,39.86,40.35,54.39,36.36,19.57,1.789,1.472,2,1
75,45.6,59.38,51.1,100,74.19,38.46,15.73,3,5.39,12.5,4.4,6.25,7.14,67.36,74.6,25,32.42,75,69.49,1.833,1.488,53.13,39.56,82.35,41.67,57.14,23.53,1.5,1.694,3,1
61.11,47.01,65.28,51.49,89.36,75.36,8,16.92,3.95,4.81,6.94,1.49,8.33,4.48,67.47,78.72,33.33,38.06,70.83,68.63,1.529,1.486,41.67,31.34,56.67,47.62,55.56,19.51,1.286,1.727,4,0
59.62,46.91,56.73,45.68,88.14,81.08,22.22,18.18,3.91,4.66,11.54,3.7,3.85,7.41,75.96,75.08,34.62,34.57,66.67,67.86,1.792,1.368,39.42,33.33,63.41,44.44,44.44,26.92,1.5,1.737,1,1
61.11,60.27,72.22,58.90,69.23,83.72,40.00,26.67,2.67,4.53,5.56,2.74,11.11,2.74,81.36,70.54,27.78,29.45,100.00,79.07,1.800,1.412,33.33,42.47,50.00,58.06,42.86,43.90,1.750,1.950,1,1
83.33,62.50,66.67,59.72,100.00,83.72,50.00,31.03,9.00,3.07,8.33,9.72,0.00,8.33,55.00,46.29,50.00,30.56,83.33,77.27,2.200,1.588,41.67,43.06,80.00,54.84,100.00,57.89,0,1.500,3,1
48.00,34.12,49.60,38.82,82.26,69.70,14.29,11.54,4.04,3.95,8.80,5.88,7.20,5.88,73.64,78.46,28.00,28.24,57.14,45.83,1.600,1.455,44.80,41.18,50.00,31.43,35.29,26.92,1.200,2.000,1,1
45.29,59.89,52.47,54.40,74.36,86.87,13.21,27.71,4.01,4.17,10.76,7.69,8.97,7.14,73.96,73.98,31.39,31.87,68.57,79.31,1.563,1.609,41.26,41.21,42.39,56.00,22.95,42.86,1.707,1.731,2,0
54.26,50.00,48.94,57.14,86.96,75.00,22.92,16.67,4.53,5.60,6.38,0.00,3.19,0.00,76.34,90.00,35.11,21.43,69.70,66.67,1.826,3.000,37.23,28.57,60.00,25.00,26.92,57.14,1.563,1.000,3,1
43.04,25.00,51.90,12.50,75.61,100.00,7.89,14.29,3.56,4.00,7.59,0.00,11.39,12.50,70.08,69.17,31.65,37.50,60.00,33.33,1.667,1.000,37.97,37.50,40.00,33.33,29.17,0.00,1.467,2.000,4,0
51.75,71.43,54.39,71.43,83.87,100.00,13.46,0.00,3.79,5.00,15.79,28.57,8.77,0.00,67.25,75.00,32.46,57.14,54.05,50.00,1.550,1.500,43.86,42.86,70.00,100.00,14.81,0,1.421,0,1,1
55.56,34.12,61.48,38.82,80.72,69.70,15.38,11.54,3.46,3.95,8.89,5.88,7.41,5.88,70.37,78.46,29.63,28.24,65.00,45.83,1.423,1.455,45.19,41.18,54.10,31.43,47.06,26.92,1.357,2.000,1,1
62.64,59.89,57.69,54.40,92.38,86.87,22.08,27.71,4.05,4.17,9.89,7.69,6.04,7.14,67.79,73.98,30.77,31.87,76.79,79.31,1.349,1.609,42.86,41.21,64.10,56.00,43.75,42.86,1.615,1.731,2,1
60.27,51.79,58.90,56.92,83.72,79.28,26.67,15.48,4.53,4.13,2.74,5.13,2.74,4.10,70.54,72.89,29.45,30.26,79.07,71.19,1.412,1.500,42.47,37.95,58.06,54.05,43.90,30.65,1.950,1.650,1,1
42.86,46.54,50.00,53.46,71.43,75.00,14.29,13.86,2.82,4.01,3.57,11.06,14.29,9.22,63.25,73.61,28.57,31.80,50.00,69.57,2.000,1.563,35.71,41.01,50.00,43.82,30.00,23.73,1.667,1.700,2,1
39.13,78.57,34.78,50.00,87.50,100.00,13.33,57.14,4.25,3.67,4.35,14.29,8.70,0.00,73.06,72.73,30.43,28.57,42.86,75.00,1.000,1.333,39.13,57.14,33.33,87.50,42.86,50.00,2.000,2.000,2,0
48.28,64.52,48.28,60.22,85.71,83.93,13.33,35.14,4.85,3.60,10.34,6.45,0.00,3.23,68.25,69.18,20.69,34.41,83.33,71.88,1.600,1.609,41.38,41.94,41.67,71.79,36.36,40.91,1.143,2.000,1,1
